Entity,Code,Year,ag_land_index,labor_index,food_supply_per_capita
Australia,AUS,1961,91.9139,140.1594,1.3585838
Australia,AUS,1962,93.9286,139.8631,1.6667349
Australia,AUS,1963,94.1963,139.2704,2.793748
Australia,AUS,1964,96.0305,138.6778,2.7958224
Australia,AUS,1965,98.3174,137.7888,2.902185
Australia,AUS,1966,100.642,136.8999,3.4088104
Australia,AUS,1967,101.6764,136.0109,2.474482
Australia,AUS,1968,108.2266,134.8256,2.823963
Australia,AUS,1969,105.5595,133.344,2.767323
Australia,AUS,1970,101.3908,139.3832,2.6844778
Australia,AUS,1971,99.981,132.5088,3.0059228
Australia,AUS,1972,100.2794,142.0816,2.913885
Australia,AUS,1973,96.9948,136.9097,3.048702
Australia,AUS,1974,97.1472,130.0353,2.9825225
Australia,AUS,1975,95.3188,127.7546,3.301458
Australia,AUS,1976,96.7669,123.5464,3.0937247
Australia,AUS,1977,95.9437,128.5898,3.10407
Australia,AUS,1978,99.1531,120.4305,3.5232332
Australia,AUS,1979,99.6442,128.1722,3.3826702
Australia,AUS,1980,100.7346,130.8384,2.270258
Australia,AUS,1981,101.6319,133.601,3.0434515
Australia,AUS,1982,102.6286,132.3161,3.3052378
Australia,AUS,1983,101.3159,133.601,3.3756585
Australia,AUS,1984,105.2139,129.2965,3.3434463
Australia,AUS,1985,104.2941,132.2326,3.2811043
Australia,AUS,1986,101.3403,136.2653,3.2269783
Australia,AUS,1987,100.301,132.1083,3.421902
Australia,AUS,1988,98.4681,138.3103,3.5834148
Australia,AUS,1989,96.8157,136.5895,3.9828613
Australia,AUS,1990,95.6235,139.9852,4.252186
Australia,AUS,1991,96.0592,131.8436,4.553382
Australia,AUS,1992,95.258,123.5059,4.697822
Australia,AUS,1993,95.7215,125.2708,4.543966
Australia,AUS,1994,98.6559,123.841,4.438605
Australia,AUS,1995,96.3834,125.3203,4.4698415
Australia,AUS,1996,99.975,128.8493,4.4911385
Australia,AUS,1997,101.9479,131.4414,4.7188287
Australia,AUS,1998,102.8131,132.0379,4.6882253
Australia,AUS,1999,103.4621,136.7973,4.554119
Australia,AUS,2000,104.6803,138.2637,4.536779
Australia,AUS,2001,105.9986,137.2727,4.0091405
Australia,AUS,2002,104.147,129.0283,5.081644
Australia,AUS,2003,102.3639,117.8696,5.287306
Australia,AUS,2004,99.3594,114.319,5.1952744
Australia,AUS,2005,102.5389,113.3071,5.096747
Australia,AUS,2006,99.3354,110.5625,5.23
Australia,AUS,2007,96.2717,111.0161,5.3138375
Australia,AUS,2008,96.1326,110.7417,5.215693
Australia,AUS,2009,99.818,111.9476,5.168205
Australia,AUS,2010,96.4868,114.0578,4.52776
Australia,AUS,2011,107.9959,101.2502,4.6473155
Australia,AUS,2012,106.5504,101.868,4.534593
Australia,AUS,2013,103.7691,96.141,4.4976983
Australia,AUS,2014,105.1385,103.9245,4.21257
Australia,AUS,2015,100,100,4.290213
Australia,AUS,2016,97.7547,100.9316,4.1414866
Australia,AUS,2017,103.021,102.2785,4.1890907
Australia,AUS,2018,101.4512,105.8978,3.9969604
Australia,AUS,2019,101.432,105.965,3.6775336
Brazil,BRA,1961,47.7614,123.1871,26.349823
Brazil,BRA,1962,48.6321,124.0873,27.06068
Brazil,BRA,1963,49.4903,124.9858,19.71254
Brazil,BRA,1964,50.361,125.882,21.106745
Brazil,BRA,1965,51.2443,126.7753,24.349371
Brazil,BRA,1966,52.115,127.6649,22.862173
Brazil,BRA,1967,52.9982,128.5501,22.900236
Brazil,BRA,1968,53.8689,129.4302,23.068745
Brazil,BRA,1969,54.7522,130.3046,24.204996
Brazil,BRA,1970,55.647,131.1725,21.989063
Brazil,BRA,1971,57.4187,135.8723,22.163824
Brazil,BRA,1972,59.1854,140.524,22.783806
Brazil,BRA,1973,60.9521,151.9133,23.958366
Brazil,BRA,1974,62.7188,149.6625,23.60406
